,Nigeria,Indonesia,China,USA,Russia,Ecuador,Egypt
happiness-q46,1.8913219789132198,1.6295717411691153,1.8507413509060955,1.8821483771251932,2.0193291642978966,1.5016949152542374,2.273561301084237
trust-q57,1.8731707317073172,1.9481087839949984,1.3456297773346626,1.6026285272516427,1.7609065155807366,1.941376380628717,1.926482873851295
authority-q45,1.09967585089141,1.9090334807327858,1.5685752330226366,1.5643410852713178,1.5585042219541616,1.1216442953020134,1.3102189781021898
petition-q209,2.5909863945578233,2.6324222431668236,2.4069034185197475,1.4597432905484247,2.433158201984822,2.3786078098471988,2.8274678111587983
god-q164,9.459983831851254,9.7709375,2.803305785123967,6.717610550814585,6.293123543123543,9.233333333333333,9.957357859531772
homosexuality-q182,1.5,1.610222640326121,2.31801652892562,6.496865203761756,2.6045130641330165,3.7046046915725457,0.0
abortion-q184,1.7087062652563059,1.5762605699968681,2.4372308711493873,5.067004285157772,4.576855639976622,2.5501263689974727,2.0616033755274263
proud-q254,1.4288025889967637,1.2199624530663329,1.639453515494835,1.8443826915442636,1.6532120523024445,1.183724832214765,1.5787269681742044
child-obey1-q8,-0.7744543249797898,-0.2834375,0.9272005294506949,0.4525462962962963,0.4447513812154696,-0.6808333333333333,-1.1226021684737282
materialistic-q155,1.7991525423728814,1.8338081671415005,1.5449020931802835,2.125100240577386,1.5054131054131055,1.8667790893760539,1.2868150684931507
